,0,1,2,3,4,5,6,7,8
2018-01-02,-0.4166897265431344,-0.19326602322319614,2.110565898696801,1.0,11.0,0.0,0.0,3.0,0.0
2018-01-03,-1.3616460607965593,0.48909375861510257,2.111167692735718,2.0,22.0,0.0,0.0,3.0,0.0
2018-01-04,-1.6643409395515782,0.4224604302101759,2.1117694867746355,3.0,25.0,0.0,0.0,3.0,0.0
2018-01-05,-1.5717058966389066,0.42736779578368467,2.112371280813553,4.0,26.0,0.0,0.0,3.0,0.0
2018-01-08,-1.7094089267103312,0.16287266580696436,2.1141766629303045,0.0,29.0,11.0,0.0,3.0,0.0
2018-01-09,-1.6929457982848737,0.2468544230659274,2.114778456969222,1.0,30.0,11.0,0.0,3.0,0.0
2018-01-10,-1.0361218942250645,-0.417643167738773,2.115380251008139,2.0,1.0,11.0,0.0,3.0,0.0
2018-01-11,-1.2977886843460635,-0.2520366114753312,2.115982045047056,3.0,2.0,11.0,0.0,3.0,0.0
2018-01-12,-1.358943841275494,0.042293294185708465,2.1165838390859735,4.0,3.0,11.0,0.0,3.0,0.0
2018-01-15,-1.975042931932165,0.01931058584047267,2.1183892212027255,0.0,6.0,22.0,0.0,3.0,0.0
2018-01-16,-1.3108480719628506,-0.06241680382143446,2.118991015241643,1.0,7.0,22.0,0.0,3.0,0.0
2018-01-17,-0.7890178920700486,0.022159806023854003,2.11959280928056,2.0,8.0,22.0,0.0,3.0,0.0
2018-01-18,-1.3590029492603157,0.06906499368429439,2.120194603319477,3.0,9.0,22.0,0.0,3.0,0.0
2018-01-19,-1.1174045717507233,0.5037961930191146,2.1207963973583945,4.0,10.0,22.0,0.0,3.0,0.0
2018-01-22,-1.8329845522400845,0.19564177502466418,2.122601779475146,0.0,14.0,33.0,0.0,3.0,0.0
2018-01-23,-1.6156655048275705,-0.18227982623730865,2.1232035735140635,1.0,15.0,33.0,0.0,3.0,0.0
2018-01-24,-1.6144067660755848,-0.40676667680464335,2.123805367552981,2.0,16.0,33.0,0.0,3.0,0.0
2018-01-25,-0.45563528883995397,-0.08326242715653225,2.1244071615918982,3.0,17.0,33.0,0.0,3.0,0.0
2018-01-26,-1.41129543760704,0.3177968063139657,2.1250089556308156,4.0,18.0,33.0,0.0,3.0,0.0
2018-01-29,-1.5199735506610055,-0.23622006295429526,2.1268143377475672,0.0,21.0,44.0,0.0,3.0,0.0
2018-01-30,-1.1386365911511254,-0.3822337017628858,2.1274161317864846,1.0,23.0,44.0,0.0,3.0,0.0
2018-01-31,-0.9794251860004647,0.02650807176527338,2.128017925825402,2.0,24.0,44.0,0.0,3.0,0.0
2018-02-01,-0.6024953851423202,-0.9797499892820049,2.1286197198643193,3.0,0.0,44.0,4.0,3.0,0.0
2018-02-02,-0.7270460225345502,-0.7558637504383718,2.129221513903236,4.0,11.0,44.0,4.0,3.0,0.0
2018-02-05,-0.3404556652907953,-0.16111115495450268,2.1310268960199883,0.0,26.0,49.0,4.0,3.0,0.0
2018-02-06,1.445648566406462,0.5314676930234943,2.1316286900589057,1.0,27.0,49.0,4.0,3.0,0.0
2018-02-07,0.15416640224284509,1.0365883054500402,2.1322304840978226,2.0,28.0,49.0,4.0,3.0,0.0
2018-02-08,0.36768066040391995,-1.3135199384629224,2.13283227813674,3.0,29.0,49.0,4.0,3.0,0.0
2018-02-09,1.0919745012965187,-1.300488606301437,2.1334340721756573,4.0,30.0,49.0,4.0,3.0,0.0
2018-02-12,0.02908271967534315,0.4761749791185679,2.1352394542924094,0.0,3.0,50.0,4.0,3.0,0.0
2018-02-13,-0.3576565075370654,-0.5667154007889583,2.1358412483313263,1.0,4.0,50.0,4.0,3.0,0.0
